standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Thẻ chân trắng,31/40,4X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,16.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Treated,Cooked,FOB Toronto,Ring,3.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Treated,Cooked,FOB Vancouver,Ring,3.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Treated,Cooked,DDP Atlanta,Ring,3.23,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Treated,Cooked,DDP LA,Ring,3.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Treated,Cooked,DDP New York,Ring,3.16,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Treated,Cooked,DDP Atlanta,Ring,3.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Treated,Cooked,DDP LA,Ring,3.22,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Treated,Cooked,DDP New York,Ring,3.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Treated,Cooked,FOB Toronto,Ring,3.23,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Treated,Cooked,FOB Vancouver,Ring,3.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Chemical free,Cooked,FOB Toronto,Ring,3.36,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Chemical free,Cooked,FOB Vancouver,Ring,3.28,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Chemical free,Cooked,DDP Atlanta,Ring,3.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Chemical free,Cooked,DDP LA,Ring,3.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,20X8,5+3,Chemical free,Cooked,DDP New York,Ring,3.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Chemical free,Cooked,DDP Atlanta,Ring,3.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Chemical free,Cooked,DDP LA,Ring,3.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Chemical free,Cooked,DDP New York,Ring,3.5,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Chemical free,Cooked,FOB Toronto,Ring,3.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,20X8,5+3,Chemical free,Cooked,FOB Vancouver,Ring,3.39,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Treated,Cooked,FOB Toronto,Ring,8.87,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Treated,Cooked,FOB Vancouver,Ring,8.65,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Treated,Cooked,DDP Atlanta,Ring,9.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Treated,Cooked,DDP LA,Ring,8.83,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Treated,Cooked,DDP New York,Ring,8.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Treated,Cooked,DDP Atlanta,Ring,9.39,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Treated,Cooked,DDP LA,Ring,9.12,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Treated,Cooked,DDP New York,Ring,9.2,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Treated,Cooked,FOB Toronto,Ring,9.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Treated,Cooked,FOB Vancouver,Ring,8.93,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Chemical free,Cooked,FOB Toronto,Ring,9.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Chemical free,Cooked,FOB Vancouver,Ring,9.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Chemical free,Cooked,DDP Atlanta,Ring,9.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Chemical free,Cooked,DDP LA,Ring,9.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,10X22,16+6,Chemical free,Cooked,DDP New York,Ring,9.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Chemical free,Cooked,DDP Atlanta,Ring,10.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Chemical free,Cooked,DDP LA,Ring,9.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Chemical free,Cooked,DDP New York,Ring,9.99,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Chemical free,Cooked,FOB Toronto,Ring,9.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,10X22,16+6,Chemical free,Cooked,FOB Vancouver,Ring,9.7,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Treated,Cooked,FOB Toronto,Ring,10.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Treated,Cooked,FOB Vancouver,Ring,10.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Treated,Cooked,DDP Atlanta,Ring,10.74,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
