standard_type,standard_size,chemical,processing,cooking,incoterms,price,unit,factory,active_date,week,month,quarter,year,month_number,quarter_number
Sú sinh thái,51/60,Treated,PTO,Cooked,None,4.97,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PD,Cooked,FOB HCM,4.58,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PD,Cooked,None,4.74,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,HLSO-O,None,FOB HCM,3.7,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,HLSO-O,None,None,3.83,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PTO,Raw,FOB HCM,3.92,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PTO,Raw,None,4.06,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PD,Raw,FOB HCM,4.11,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PD,Raw,None,4.25,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PTO,Cooked,FOB HCM,4.6,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PTO,Cooked,None,4.76,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PD,Cooked,FOB HCM,4.38,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,61/70,Treated,PD,Cooked,None,4.53,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,HLSO-O,None,FOB HCM,3.43,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,HLSO-O,None,None,3.55,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PTO,Raw,FOB HCM,3.63,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PTO,Raw,None,3.76,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PD,Raw,FOB HCM,3.81,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PD,Raw,None,3.94,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PTO,Cooked,FOB HCM,4.3,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PTO,Cooked,None,4.45,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PD,Cooked,FOB HCM,4.1,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,71/90,Treated,PD,Cooked,None,4.24,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,HLSO-O,None,FOB HCM,6.75,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,HLSO-O,None,None,6.95,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PTO,Raw,FOB HCM,7.2,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PTO,Raw,None,7.42,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PD,Raw,FOB HCM,7.59,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PD,Raw,None,7.82,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PTO,Cooked,FOB HCM,8.11,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PTO,Cooked,None,8.36,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PD,Cooked,FOB HCM,8.76,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,6/8,Treated,PD,Cooked,None,9.02,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,HLSO-O,None,FOB HCM,6.41,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,HLSO-O,None,None,6.62,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PTO,Raw,FOB HCM,6.85,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PTO,Raw,None,7.06,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PD,Raw,FOB HCM,7.22,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PD,Raw,None,7.44,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PTO,Cooked,FOB HCM,7.92,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PTO,Cooked,None,8.16,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PD,Cooked,FOB HCM,8.55,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,8/12,Treated,PD,Cooked,None,8.8,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,HLSO-O,None,FOB HCM,6.08,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,HLSO-O,None,None,6.28,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PTO,Raw,FOB HCM,6.49,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PTO,Raw,None,6.7,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PD,Raw,FOB HCM,6.85,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PD,Raw,None,7.06,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PTO,Cooked,FOB HCM,7.53,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PTO,Cooked,None,7.75,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PD,Cooked,FOB HCM,8.13,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,13/15,Treated,PD,Cooked,None,8.37,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,HLSO-O,None,FOB HCM,5.0,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,HLSO-O,None,None,5.16,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PTO,Raw,FOB HCM,5.34,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PTO,Raw,None,5.51,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PD,Raw,FOB HCM,5.64,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PD,Raw,None,5.82,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PTO,Cooked,FOB HCM,6.68,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PTO,Cooked,None,6.89,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PD,Cooked,FOB HCM,7.22,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,16/20,Treated,PD,Cooked,None,7.45,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,21/25,Treated,HLSO-O,None,FOB HCM,4.57,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Thẻ chân trắng giám sát sạch Mỹ,21/25,Treated,HLSO-O,None,None,4.72,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
